# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	🤘🏾;saudação do rock: pele morena escura;chifres|dedos|mão|pele morena escura|saudação do rock|saudação do rock: pele morena escura
	🤘🏿;saudação do rock: pele escura;chifres|dedos|mão|pele escura|saudação do rock|saudação do rock: pele escura
🤙;sinal &quot;me liga&quot;;ligar|sinal &quot;me liga&quot;
	🤙🏻;sinal &quot;me liga&quot;: pele clara;ligar|pele clara|sinal &quot;me liga&quot;|sinal &quot;me liga&quot;: pele clara
	🤙🏼;sinal &quot;me liga&quot;: pele morena clara;ligar|pele morena clara|sinal &quot;me liga&quot;|sinal &quot;me liga&quot;: pele morena clara
	🤙🏽;sinal &quot;me liga&quot;: pele morena;ligar|pele morena|sinal &quot;me liga&quot;|sinal &quot;me liga&quot;: pele morena
	🤙🏾;sinal &quot;me liga&quot;: pele morena escura;ligar|pele morena escura|sinal &quot;me liga&quot;|sinal &quot;me liga&quot;: pele morena escura
	🤙🏿;sinal &quot;me liga&quot;: pele escura;ligar|pele escura|sinal &quot;me liga&quot;|sinal &quot;me liga&quot;: pele escura
👈;dorso da mão com dedo indicador apontando para a esquerda;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda
	👈🏻;dorso da mão com dedo indicador apontando para a esquerda: pele clara;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda|dorso da mão com dedo indicador apontando para a esquerda: pele clara|pele clara
	👈🏼;dorso da mão com dedo indicador apontando para a esquerda: pele morena clara;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda|dorso da mão com dedo indicador apontando para a esquerda: pele morena clara|pele morena clara
	👈🏽;dorso da mão com dedo indicador apontando para a esquerda: pele morena;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda|dorso da mão com dedo indicador apontando para a esquerda: pele morena|pele morena
	👈🏾;dorso da mão com dedo indicador apontando para a esquerda: pele morena escura;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda|dorso da mão com dedo indicador apontando para a esquerda: pele morena escura|pele morena escura
	👈🏿;dorso da mão com dedo indicador apontando para a esquerda: pele escura;costas da mão|dedo|dedo apontado para esquerda|dedo indicador|dorso da mão com dedo indicador apontando para a esquerda|dorso da mão com dedo indicador apontando para a esquerda: pele escura|pele escura
👉;dorso da mão com dedo indicador apontando para a direita;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita
	👉🏻;dorso da mão com dedo indicador apontando para a direita: pele clara;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita|dorso da mão com dedo indicador apontando para a direita: pele clara|pele clara
	👉🏼;dorso da mão com dedo indicador apontando para a direita: pele morena clara;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita|dorso da mão com dedo indicador apontando para a direita: pele morena clara|pele morena clara
	👉🏽;dorso da mão com dedo indicador apontando para a direita: pele morena;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita|dorso da mão com dedo indicador apontando para a direita: pele morena|pele morena
	👉🏾;dorso da mão com dedo indicador apontando para a direita: pele morena escura;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita|dorso da mão com dedo indicador apontando para a direita: pele morena escura|pele morena escura
	👉🏿;dorso da mão com dedo indicador apontando para a direita: pele escura;costas da mão|dedo|dedo apontado para direita|dedo indicador|dorso da mão com dedo indicador apontando para a direita|dorso da mão com dedo indicador apontando para a direita: pele escura|pele escura
👆;dorso da mão com dedo indicador apontando para cima;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima
	👆🏻;dorso da mão com dedo indicador apontando para cima: pele clara;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima|dorso da mão com dedo indicador apontando para cima: pele clara|pele clara
	👆🏼;dorso da mão com dedo indicador apontando para cima: pele morena clara;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima|dorso da mão com dedo indicador apontando para cima: pele morena clara|pele morena clara
	👆🏽;dorso da mão com dedo indicador apontando para cima: pele morena;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima|dorso da mão com dedo indicador apontando para cima: pele morena|pele morena
	👆🏾;dorso da mão com dedo indicador apontando para cima: pele morena escura;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima|dorso da mão com dedo indicador apontando para cima: pele morena escura|pele morena escura
	👆🏿;dorso da mão com dedo indicador apontando para cima: pele escura;costas da mão|dedo|dedo apontado para cima|dedo indicador|dorso da mão com dedo indicador apontando para cima|dorso da mão com dedo indicador apontando para cima: pele escura|pele escura
🖕;dedo do meio;dedo|dedo do meio|gesto ofensivo|mão
	🖕🏻;dedo do meio: pele clara;dedo|dedo do meio|dedo do meio: pele clara|gesto ofensivo|mão|pele clara
	🖕🏼;dedo do meio: pele morena clara;dedo|dedo do meio|dedo do meio: pele morena clara|gesto ofensivo|mão|pele morena clara
	🖕🏽;dedo do meio: pele morena;dedo|dedo do meio|dedo do meio: pele morena|gesto ofensivo|mão|pele morena
	🖕🏾;dedo do meio: pele morena escura;dedo|dedo do meio|dedo do meio: pele morena escura|gesto ofensivo|mão|pele morena escura
	🖕🏿;dedo do meio: pele escura;dedo|dedo do meio|dedo do meio: pele escura|gesto ofensivo|mão|pele escura
👇;dorso da mão com dedo indicador apontando para baixo;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo
	👇🏻;dorso da mão com dedo indicador apontando para baixo: pele clara;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo|dorso da mão com dedo indicador apontando para baixo: pele clara|pele clara
	👇🏼;dorso da mão com dedo indicador apontando para baixo: pele morena clara;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo|dorso da mão com dedo indicador apontando para baixo: pele morena clara|pele morena clara
	👇🏽;dorso da mão com dedo indicador apontando para baixo: pele morena;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo|dorso da mão com dedo indicador apontando para baixo: pele morena|pele morena
	👇🏾;dorso da mão com dedo indicador apontando para baixo: pele morena escura;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo|dorso da mão com dedo indicador apontando para baixo: pele morena escura|pele morena escura
	👇🏿;dorso da mão com dedo indicador apontando para baixo: pele escura;costas da mão|dedo|dedo apontado para baixo|dedo indicador|dorso da mão com dedo indicador apontando para baixo|dorso da mão com dedo indicador apontando para baixo: pele escura|pele escura
☝️;indicador apontando para cima;dedo|dedo apontando para cima|indicador|indicador apontando para cima|mão
	☝🏻;indicador apontando para cima: pele clara;dedo|dedo apontando para cima|indicador|indicador apontando para cima|indicador apontando para cima: pele clara|mão|pele clara
	☝🏼;indicador apontando para cima: pele morena clara;dedo|dedo apontando para cima|indicador|indicador apontando para cima|indicador apontando para cima: pele morena clara|mão|pele morena clara
	☝🏽;indicador apontando para cima: pele morena;dedo|dedo apontando para cima|indicador|indicador apontando para cima|indicador apontando para cima: pele morena|mão|pele morena
	☝🏾;indicador apontando para cima: pele morena escura;dedo|dedo apontando para cima|indicador|indicador apontando para cima|indicador apontando para cima: pele morena escura|mão|pele morena escura
	☝🏿;indicador apontando para cima: pele escura;dedo|dedo apontando para cima|indicador|indicador apontando para cima|indicador apontando para cima: pele escura|mão|pele escura
🫵;indicador apontando para o visualizador;apontar|indicador apontando para o visualizador|você
	🫵🏻;indicador apontando para o visualizador: pele clara;apontar|indicador apontando para o visualizador|indicador apontando para o visualizador: pele clara|pele clara|você
	🫵🏼;indicador apontando para o visualizador: pele morena clara;apontar|indicador apontando para o visualizador|indicador apontando para o visualizador: pele morena clara|pele morena clara|você
	🫵🏽;indicador apontando para o visualizador: pele morena;apontar|indicador apontando para o visualizador|indicador apontando para o visualizador: pele morena|pele morena|você
	🫵🏾;indicador apontando para o visualizador: pele morena escura;apontar|indicador apontando para o visualizador|indicador apontando para o visualizador: pele morena escura|pele morena escura|você
	🫵🏿;indicador apontando para o visualizador: pele escura;apontar|indicador apontando para o visualizador|indicador apontando para o visualizador: pele escura|pele escura|você
👍;polegar para cima;dedão|mão|para cima|polegar para cima|sinal
	👍🏻;polegar para cima: pele clara;dedão|mão|para cima|pele clara|polegar para cima|polegar para cima: pele clara|sinal
	👍🏼;polegar para cima: pele morena clara;dedão|mão|para cima|pele morena clara|polegar para cima|polegar para cima: pele morena clara|sinal
	👍🏽;polegar para cima: pele morena;dedão|mão|para cima|pele morena|polegar para cima|polegar para cima: pele morena|sinal
	👍🏾;polegar para cima: pele morena escura;dedão|mão|para cima|pele morena escura|polegar para cima|polegar para cima: pele morena escura|sinal
	👍🏿;polegar para cima: pele escura;dedão|mão|para cima|pele escura|polegar para cima|polegar para cima: pele escura|sinal
👎;polegar para baixo;dedão|mão|para baixo|polegar para baixo|sinal
	👎🏻;polegar para baixo: pele clara;dedão|mão|para baixo|pele clara|polegar para baixo|polegar para baixo: pele clara|sinal
	👎🏼;polegar para baixo: pele morena clara;dedão|mão|para baixo|pele morena clara|polegar para baixo|polegar para baixo: pele morena clara|sinal
	👎🏽;polegar para baixo: pele morena;dedão|mão|para baixo|pele morena|polegar para baixo|polegar para baixo: pele morena|sinal
	👎🏾;polegar para baixo: pele morena escura;dedão|mão|para baixo|pele morena escura|polegar para baixo|polegar para baixo: pele morena escura|sinal
	👎🏿;polegar para baixo: pele escura;dedão|mão|para baixo|pele escura|polegar para baixo|polegar para baixo: pele escura|sinal
✊;punho levantado;punho erguido|punho levantado
	✊🏻;punho levantado: pele clara;pele clara|punho erguido|punho levantado|punho levantado: pele clara
	✊🏼;punho levantado: pele morena clara;pele morena clara|punho erguido|punho levantado|punho levantado: pele morena clara
	✊🏽;punho levantado: pele morena;pele morena|punho erguido|punho levantado|punho levantado: pele morena
	✊🏾;punho levantado: pele morena escura;pele morena escura|punho erguido|punho levantado|punho levantado: pele morena escura
	✊🏿;punho levantado: pele escura;pele escura|punho erguido|punho levantado|punho levantado: pele escura
👊;soco;mão|punho|soco
	👊🏻;soco: pele clara;mão|pele clara|punho|soco|soco: pele clara
	👊🏼;soco: pele morena clara;mão|pele morena clara|punho|soco|soco: pele morena clara
	👊🏽;soco: pele morena;mão|pele morena|punho|soco|soco: pele morena
	👊🏾;soco: pele morena escura;mão|pele morena escura|punho|soco|soco: pele morena escura
	👊🏿;soco: pele escura;mão|pele escura|punho|soco|soco: pele escura
🤛;punho esquerdo;esquerdo|punho|soco
	🤛🏻;punho esquerdo: pele clara;esquerdo|pele clara|punho|punho esquerdo: pele clara|soco
	🤛🏼;punho esquerdo: pele morena clara;esquerdo|pele morena clara|punho|punho esquerdo: pele morena clara|soco
	🤛🏽;punho esquerdo: pele morena;esquerdo|pele morena|punho|punho esquerdo: pele morena|soco
	🤛🏾;punho esquerdo: pele morena escura;esquerdo|pele morena escura|punho|punho esquerdo: pele morena escura|soco
	🤛🏿;punho esquerdo: pele escura;esquerdo|pele escura|punho|punho esquerdo: pele escura|soco
🤜;punho direito;direito|punho|soco
	🤜🏻;punho direito: pele clara;direito|pele clara|punho|punho direito: pele clara|soco
	🤜🏼;punho direito: pele morena clara;direito|pele morena clara|punho|punho direito: pele morena clara|soco
	🤜🏽;punho direito: pele morena;direito|pele morena|punho|punho direito: pele morena|soco
	🤜🏾;punho direito: pele morena escura;direito|pele morena escura|punho|punho direito: pele morena escura|soco
	🤜🏿;punho direito: pele escura;direito|pele escura|punho|punho direito: pele escura|soco
👏;mãos aplaudindo;aplauso|mãos|mãos aplaudindo|sinal
	👏🏻;mãos aplaudindo: pele clara;aplauso|mãos|mãos aplaudindo|mãos aplaudindo: pele clara|pele clara|sinal
	👏🏼;mãos aplaudindo: pele morena clara;aplauso|mãos|mãos aplaudindo|mãos aplaudindo: pele morena clara|pele morena clara|sinal
	👏🏽;mãos aplaudindo: pele morena;aplauso|mãos|mãos aplaudindo|mãos aplaudindo: pele morena|pele morena|sinal
	👏🏾;mãos aplaudindo: pele morena escura;aplauso|mãos|mãos aplaudindo|mãos aplaudindo: pele morena escura|pele morena escura|sinal
	👏🏿;mãos aplaudindo: pele escura;aplauso|mãos|mãos aplaudindo|mãos aplaudindo: pele escura|pele escura|sinal
🙌;mãos para cima;ambas as mãos|comemoração|levantando ambas as mãos para comemorar|mãos para cima
	🙌🏻;mãos para cima: pele clara;ambas as mãos|comemoração|levantando ambas as mãos para comemorar|mãos para cima|mãos para cima: pele clara|pele clara
	🙌🏼;mãos para cima: pele morena clara;ambas as mãos|comemoração|levantando ambas as mãos para comemorar|mãos para cima|mãos para cima: pele morena clara|pele morena clara
	🙌🏽;mãos para cima: pele morena;ambas as mãos|comemoração|levantando ambas as mãos para comemorar|mãos para cima|mãos para cima: pele morena|pele morena
	🙌🏾;mãos para cima: pele morena escura;ambas as mãos|comemoração|levantando ambas as mãos para comemorar|mãos para cima|mãos para cima: pele morena escura|pele morena escura
